,0
0,1338.857142857143
1,2432.285714285714
2,2484.8571428571427
3,2499.285714285714
4,2435.8571428571427
5,2607.0
6,2575.8571428571427
7,2601.1428571428573
8,2660.714285714286
9,2596.285714285714
10,2431.714285714286
11,2553.285714285714
12,2629.714285714286
13,2521.1428571428573
14,2402.5714285714284
15,2501.1428571428573
16,2482.714285714286
17,2481.5714285714284
18,2524.8571428571427
19,2579.8571428571427
20,2535.0
21,2548.5714285714284
22,2524.285714285714
23,2461.714285714286
24,2638.4285714285716
25,2501.1428571428573
26,2605.5714285714284
27,2607.4285714285716
28,2781.285714285714
29,2564.1428571428573
30,2597.1428571428573
31,2642.714285714286
32,2668.4285714285716
33,2697.4285714285716
34,2651.0
35,2650.4285714285716
36,2631.714285714286
37,2731.5714285714284
38,2692.5714285714284
39,2765.714285714286
40,2739.0
41,2783.8571428571427
42,2638.4285714285716
43,2713.285714285714
44,2768.5714285714284
45,2879.5714285714284
46,2924.714285714286
47,2946.714285714286
48,3031.0
49,3347.0
50,3214.714285714286
51,3396.285714285714
52,3298.714285714286
53,3541.8571428571427
54,3693.5714285714284
55,3694.0
56,3725.8571428571427
57,3648.1428571428573
58,3623.0
59,3629.1428571428573
60,3529.0
61,3603.714285714286
62,3508.5714285714284
63,3550.285714285714
64,3547.285714285714
65,3540.0
66,3587.0
67,3501.5714285714284
68,3598.5714285714284
69,3613.1428571428573
70,3636.0
71,3659.4285714285716
72,3576.285714285714
73,3620.5714285714284
74,3589.5714285714284
75,3544.714285714286
76,3563.1428571428573
77,3592.0
78,3663.4285714285716
79,3654.5714285714284
80,3641.4285714285716
81,3787.8571428571427
82,3668.1428571428573
83,3664.1428571428573
84,3654.5714285714284
85,3652.4285714285716
86,3658.0
87,3698.1428571428573
88,3655.1428571428573
89,3783.8571428571427
90,3825.0
91,3863.1428571428573
92,3836.5714285714284
93,3818.285714285714
94,3804.5714285714284
95,3830.5714285714284
96,4026.4285714285716
97,4174.142857142857
98,4073.714285714286
99,4023.714285714286
100,3949.8571428571427
101,4059.0
102,3943.0
103,3995.8571428571427
104,3957.0
105,3998.1428571428573
106,3962.714285714286
107,3956.714285714286
108,3898.4285714285716
109,3938.714285714286
110,3912.285714285714
111,3891.714285714286
112,3884.714285714286
113,3829.714285714286
114,3905.5714285714284
115,3992.8571428571427
116,3839.8571428571427
117,3869.1428571428573
118,3827.5714285714284
119,3890.4285714285716
120,3978.5714285714284
121,3879.4285714285716
122,3893.285714285714
123,3994.714285714286
124,3839.0
125,3774.1428571428573
126,3819.8571428571427
127,3790.285714285714
128,3894.285714285714
129,3823.285714285714
130,3912.0
131,3912.8571428571427
132,3821.1428571428573
133,3882.8571428571427
134,3807.5714285714284
135,3779.8571428571427
136,3898.1428571428573
137,3945.5714285714284
138,3760.4285714285716
139,3671.8571428571427
140,3752.1428571428573
141,3786.8571428571427
142,3815.5714285714284
143,3741.0
144,3706.0
145,3853.285714285714
146,3888.285714285714
147,3802.1428571428573
148,3743.4285714285716
149,3847.1428571428573
150,3796.8571428571427
151,3804.714285714286
152,3848.4285714285716
153,3869.0
154,3788.4285714285716
155,3836.0
156,3822.5714285714284
157,3835.4285714285716
158,3729.285714285714
159,3861.1428571428573
160,3784.285714285714
161,3875.285714285714
162,3937.0
163,3814.1428571428573
164,3732.1428571428573
165,3879.285714285714
166,3940.1428571428573
167,3792.285714285714
168,3830.8571428571427
169,3864.714285714286
170,3891.8571428571427
171,3854.714285714286
172,3959.5714285714284
173,3971.285714285714
174,4008.8571428571427
175,4179.428571428572
176,4226.0
177,4306.571428571428
178,4386.571428571428
179,4424.428571428572
180,4633.714285714285
181,4756.0
182,4923.857142857143
183,5272.285714285715
184,5512.0
185,5898.285714285715
186,6454.714285714285
187,6752.571428571428
188,7426.857142857143
189,8062.142857142857
190,8960.0
191,10070.42857142857
192,11199.42857142857
193,12501.57142857143
194,13998.142857142857
195,15749.285714285714
196,17502.571428571428
197,20177.85714285714
198,22755.714285714286
199,25237.714285714286
200,27933.428571428572
201,30271.714285714286
202,32640.14285714286
203,34350.142857142855
204,35416.42857142857
205,36120.42857142857
206,35973.71428571428
207,34265.28571428572
208,31643.14285714286
209,28231.14285714286
210,24237.571428571428
211,19859.285714285714
212,15367.42857142857
213,11659.714285714286
214,8613.0
215,6504.285714285715
216,5263.857142857143
217,4355.428571428572
218,4066.1428571428573
219,3999.714285714286
220,3862.285714285714
221,3951.0
222,3903.285714285714
223,3920.714285714286
224,3803.5714285714284
225,3825.1428571428573
226,3759.285714285714
227,3830.714285714286
228,3817.4285714285716
229,3906.4285714285716
230,3935.714285714286
231,3903.4285714285716
232,3911.285714285714
233,3895.8571428571427
234,4092.285714285714
235,4068.1428571428573
236,4352.714285714285
237,4889.857142857143
238,4559.285714285715
239,4243.285714285715
240,4284.285714285715
241,4299.142857142857
242,4225.142857142857
243,4328.714285714285
244,4485.857142857143
245,4574.142857142857
246,4974.285714285715
247,4922.428571428572
248,5279.285714285715
249,5716.857142857143
250,6076.285714285715
251,6736.142857142857
252,7456.285714285715
253,8330.142857142857
254,9162.142857142857
255,10516.285714285714
256,11781.57142857143
257,13155.57142857143
258,14685.857142857143
259,16154.57142857143
260,17841.85714285714
261,19767.14285714286
262,21185.571428571428
263,23039.428571428572
264,24501.85714285714
265,25593.0
266,26670.0
267,26724.428571428572
268,26465.428571428572
269,25087.285714285714
270,23206.85714285714
271,20484.14285714286
272,17275.428571428572
273,14079.857142857143
274,11072.142857142857
275,8592.57142857143
276,6730.142857142857
277,5582.285714285715
278,4937.142857142857
279,4687.571428571428
280,4502.428571428572
281,4516.285714285715
282,4435.857142857143
283,4532.857142857143
284,4568.142857142857
285,4586.714285714285
286,4834.285714285715
287,5010.857142857143
288,5321.142857142857
289,5551.285714285715
290,5997.285714285715
291,6628.857142857143
292,7195.428571428572
293,8080.714285714285
294,9037.42857142857
295,9869.857142857143
296,11073.0
297,12643.0
298,13736.0
299,14972.285714285714
300,16273.714285714286
301,17607.571428571428
302,18548.14285714286
303,19420.714285714286
